category,name,amount,date
Accommodation,Daniel Williamson,2403.93,1970-01-01 00:00:00.000043697
Accommodation,Demi Taylor,3490.52,1970-01-01 00:00:00.000043309
Accommodation,erin dale,2235.47,1970-01-01 00:00:00.000042921
Accommodation,Ethan Dean,1199.5022875816994,1970-01-01 00:00:00.000042892
Accommodation,Harriet Johnson,4545.26,1970-01-01 00:00:00.000043412
Accommodation,Hollie Robinson,730.81,1970-01-01 00:00:00.000042161
Accommodation,Jacob Spencer,2238.91,1970-01-01 00:00:00.000042431
Accommodation,Jeanette McDonald,3488.63,1970-01-01 00:00:00.000042058
Accommodation,Liam Grant,2734.5,1970-01-01 00:00:00.000043428
Accommodation,Lilly Watson,1601.83,1970-01-01 00:00:00.000042550
Accommodation,Luke Cole,1935.22,1970-01-01 00:00:00.000042208
Accommodation,Mollie Jackson,3953.91,1970-01-01 00:00:00.000043638
Accommodation,Owen Harper,3687.14,1970-01-01 00:00:00.000042200
Accommodation,rhys jones,2938.06,1970-01-01 00:00:00.000043067
Accommodation,Zachary Moore,3593.67,1970-01-01 00:00:00.000042596
Accommodation,brandon jackson,821.89,1970-01-01 00:00:00.000043213
Accommodation,Henry Williams,579.97,1970-01-01 00:00:00.000042216
Accommodation,Imogen Glover,792.29,1970-01-01 00:00:00.000043404
Accommodation,Laura Winter,303.58,1970-01-01 00:00:00.000042138
Accommodation,Lewis Francis,452.78,1970-01-01 00:00:00.000043448
Accommodation,Liam Grant,485.67,1970-01-01 00:00:00.000042181
Accommodation,Lilly Watson,179.23,1970-01-01 00:00:00.000043609
Accommodation,Lucy Campbell,245.52,1970-01-01 00:00:00.000043136
Accommodation,Luke Cole,644.58,1970-01-01 00:00:00.000043145
Accommodation,Patricia Harmsworth,322.21,1970-01-01 00:00:00.000043825
Accommodation,Tilly Stewart,834.33,1970-01-01 00:00:00.000042036
Accommodation,alexandra thompson,2057.3,1970-01-01 00:00:00.000042740
Accommodation,alfie saunders,2103.0,1970-01-01 00:00:00.000042033
Accommodation,bradley wood,947.82,1970-01-01 00:00:00.000043384
Accommodation,Demi Taylor,2064.65,1970-01-01 00:00:00.000042666
Accommodation,Elaine Monk,2252.47,1970-01-01 00:00:00.000043629
Accommodation,erin dale,4069.72,1970-01-01 00:00:00.000043316
Accommodation,Henry Clements,2440.28,1970-01-01 00:00:00.000042878
Accommodation,Henry Williams,2806.22,1970-01-01 00:00:00.000043014
Accommodation,Hollie Robinson,829.98,1970-01-01 00:00:00.000043418
Accommodation,Imogen Glover,1604.39,1970-01-01 00:00:00.000043430
Accommodation,Jeanette McDonald,1080.81,1970-01-01 00:00:00.000042973
Accommodation,Lilly Watson,1813.46,1970-01-01 00:00:00.000042897
Accommodation,Lucy Campbell,1220.12,1970-01-01 00:00:00.000043826
Accommodation,Luke Cole,3250.4,1970-01-01 00:00:00.000043053
Accommodation,Niamh Bradshaw,1952.34,1970-01-01 00:00:00.000042872
Accommodation,Noah Johnson,1767.82,1970-01-01 00:00:00.000042682
Accommodation,Oscar Lewis,2289.95,1970-01-01 00:00:00.000042532
Accommodation,Sarah Carey,661.56,1970-01-01 00:00:00.000043761
Accommodation,Tilly Stewart,567.28,1970-01-01 00:00:00.000043478
Accommodation,Tyler Rhodes,2504.87,1970-01-01 00:00:00.000042715
Accommodation,Zachary Moore,2277.94,1970-01-01 00:00:00.000043398
Accommodation,bradley wood,1592.56,1970-01-01 00:00:00.000042915
Accommodation,charlie ross,3355.99,1970-01-01 00:00:00.000043419
Accommodation,Daniel Williamson,2527.68,1970-01-01 00:00:00.000043347
Accommodation,Demi Taylor,2541.3,1970-01-01 00:00:00.000042901
Accommodation,Harriet Johnson,2573.63,1970-01-01 00:00:00.000042150
Accommodation,Hollie Robinson,1773.34,1970-01-01 00:00:00.000042673
Accommodation,Jacob Spencer,1800.47,1970-01-01 00:00:00.000042168
Accommodation,Jeanette McDonald,1359.82,1970-01-01 00:00:00.000042051
Accommodation,Joshua Holmes,1961.45,1970-01-01 00:00:00.000043238
Accommodation,Lilly Watson,808.18,1970-01-01 00:00:00.000043821
Accommodation,Lucy Campbell,2717.46,1970-01-01 00:00:00.000042511
Accommodation,Nicole Howell,844.27,1970-01-01 00:00:00.000042764
Accommodation,nicole jones,3351.91,1970-01-01 00:00:00.000043755
Accommodation,Oscar Lewis,2360.99,1970-01-01 00:00:00.000043295
Accommodation,Owen Harper,847.89,1970-01-01 00:00:00.000043777
Accommodation,sam watson,2473.92,1970-01-01 00:00:00.000042243
Accommodation,Tyler Pearson,3597.74,1970-01-01 00:00:00.000042444
Accommodation,Tyler Rhodes,1937.44,1970-01-01 00:00:00.000042459
Accommodation,alfie saunders,795.5,1970-01-01 00:00:00.000042117
Accommodation,Benjamin Owen,441.43,1970-01-01 00:00:00.000042661
Accommodation,Brooke Murray,259.91,1970-01-01 00:00:00.000042829
Accommodation,Daniel Williamson,739.18,1970-01-01 00:00:00.000043457
Accommodation,Elaine Monk,853.15,1970-01-01 00:00:00.000042023
Accommodation,erin dale,896.89,1970-01-01 00:00:00.000043396
Accommodation,Ewan Yates,515.64,1970-01-01 00:00:00.000043547
Accommodation,Henry Clements,316.38,1970-01-01 00:00:00.000042675
Accommodation,Henry Williams,733.82,1970-01-01 00:00:00.000043428
Accommodation,Jacob Spencer,406.28,1970-01-01 00:00:00.000042766
Accommodation,joseph fisher,404.39,1970-01-01 00:00:00.000042659
Accommodation,kian thompson,431.13,1970-01-01 00:00:00.000043683
Accommodation,Liam Grant,192.42,1970-01-01 00:00:00.000043000
Accommodation,Lilly Watson,232.11,1970-01-01 00:00:00.000043731
Accommodation,Noah Johnson,617.27,1970-01-01 00:00:00.000043284
Accommodation,Patricia Harmsworth,210.3,1970-01-01 00:00:00.000043756
Accommodation,reuben scott,457.46,1970-01-01 00:00:00.000043635
Accommodation,rhys jones,696.07,1970-01-01 00:00:00.000042220
Accommodation,Sarah Carey,237.08,1970-01-01 00:00:00.000042050
Accommodation,Skye Williams,564.04,1970-01-01 00:00:00.000042520
Accommodation,Tyler Pearson,551.43,1970-01-01 00:00:00.000043399
Accommodation,Zachary Moore,278.37,1970-01-01 00:00:00.000043621
Accommodation,alexandra thompson,2461.52,1970-01-01 00:00:00.000043422
Accommodation,alfie saunders,3071.51,1970-01-01 00:00:00.000042064
Accommodation,bradley wood,3022.99,1970-01-01 00:00:00.000042966
Accommodation,Daniel Williamson,2263.46,1970-01-01 00:00:00.000042676
Accommodation,Ewan Yates,3232.74,1970-01-01 00:00:00.000042922
Accommodation,harrison hart,2806.95,1970-01-01 00:00:00.000042326
Accommodation,Jacob Spencer,1641.37,1970-01-01 00:00:00.000043801
Accommodation,Lewis Francis,2216.57,1970-01-01 00:00:00.000042369
Accommodation,Liam Grant,1892.45,1970-01-01 00:00:00.000042853
Accommodation,Nicole Howell,3427.85,1970-01-01 00:00:00.000042908
Accommodation,Oscar Lewis,792.35,1970-01-01 00:00:00.000043044
Accommodation,Owen Harper,813.06,1970-01-01 00:00:00.000043045
Accommodation,sam watson,1653.3,1970-01-01 00:00:00.000043825
Accommodation,Tilly Stewart,3532.07,1970-01-01 00:00:00.000043810
Accommodation,Corey Green,486.29,1970-01-01 00:00:00.000043756
Accommodation,Daniel Williamson,374.11,1970-01-01 00:00:00.000042277
Accommodation,Ewan Yates,400.55,1970-01-01 00:00:00.000043071
Accommodation,Henry Clements,391.0,1970-01-01 00:00:00.000042649
Accommodation,Imogen Glover,259.11,1970-01-01 00:00:00.000043703
Accommodation,Jacob Spencer,317.29,1970-01-01 00:00:00.000043033
Accommodation,joseph fisher,500.57,1970-01-01 00:00:00.000042610
Accommodation,Lucy Campbell,578.72,1970-01-01 00:00:00.000042250
Accommodation,Nicole Howell,760.04,1970-01-01 00:00:00.000043099
Accommodation,Owen Harper,337.1,1970-01-01 00:00:00.000042133
Accommodation,Rosie Robinson,297.18,1970-01-01 00:00:00.000043201
Accommodation,Sarah Carey,655.57,1970-01-01 00:00:00.000043032
Accommodation,Skye Williams,268.65,1970-01-01 00:00:00.000043826
Accommodation,Tyler Pearson,459.24,1970-01-01 00:00:00.000042769
Accommodation,Tyler Rhodes,690.61,1970-01-01 00:00:00.000043416
Accommodation,bradley wood,209.59,1970-01-01 00:00:00.000042175
Accommodation,Brooke Murray,167.48,1970-01-01 00:00:00.000043644
Accommodation,Callum Knight,553.88,1970-01-01 00:00:00.000043370
Accommodation,Demi Taylor,42.0,1970-01-01 00:00:00.000043724
Accommodation,erin dale,567.36,1970-01-01 00:00:00.000043016
Accommodation,Ethan Wells,488.15,1970-01-01 00:00:00.000042963
Accommodation,harrison hart,183.38,1970-01-01 00:00:00.000042452
Accommodation,Joshua Holmes,946.48,1970-01-01 00:00:00.000042225
Accommodation,Millie Macdonald,149.93,1970-01-01 00:00:00.000043413
Accommodation,Niamh Bradshaw,132.86,1970-01-01 00:00:00.000043776
